lostid,PartnerID,PC,PCName,Found_Date,Lost_Date,Found_Color,Lost_Color,Found_CaseColor,Lost_CaseColor,Found_Brand,Lost_Brand,Found_Material,Lost_Material,Found_CustomAttr,Lost_CustomAttr,Found_DDLocation,Lost_DDLocation,Found_Room_flight,Lost_Room_flight,Found_SerialNumber,Lost_SerialNumber,Found_Cash,Lost_Cash
21462352,2474,231,iPhone,01/07/2022,01/08/2022,2,3,9,9,0,0,0,0,951,951,3026,0,1610,,,,0,0
23305585,16650,67,Wallet,06/04/2022,06/05/2022,9,9,0,0,0,0,39,39,22177,25248,0,0,Bx,,,,0,0
23595739,16790,65,Drivers License,06/25/2022,06/27/2022,0,0,0,0,0,0,0,0,14463,14463,0,121,,,,,0,0
22263737,5894,135,Backpack,03/20/2022,03/21/2022,3,3,0,0,0,0,0,0,1244,1244,0,0,,,,,0,0
22155170,13507,358,Assorted Items,03/13/2022,03/13/2022,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
21522961,16130,66,Credit or Debit card,01/14/2022,01/14/2022,2,0,0,0,0,694,39,0,8552,8552,0,0,,,,,0,0
22158754,7323,177,Keys,03/13/2022,03/13/2022,3,0,0,0,1007,0,57,0,3283,1887,0,810,,,,,0,0
22959819,16650,67,Wallet,04/18/2022,04/20/2022,0,13,0,0,0,700,0,39,25236,25236,0,0,M2,,,,42.08,0
21629701,16130,431,Disney Souvenir,02/04/2022,01/25/2022,9,0,0,0,0,0,0,0,8554,8554,0,0,,,,,0,0
22640328,5894,1,Shirt,04/18/2022,04/18/2022,0,1,0,0,0,438,0,0,1244,1244,0,0,,,,,0,0
21426483,7322,5,Coat - Jacket,01/03/2022,01/03/2022,2,2,0,0,1042,0,3,0,1899,1899,0,0,5106,5106,,,0,0
22494084,16650,339,Foreign currency,04/03/2022,04/03/2022,2,0,0,0,0,0,44,0,25254,25254,0,0,,,,,0,0
22706064,16247,129,Suitcase,04/23/2022,04/23/2022,3,3,0,0,0,0,62,0,10570,10570,0,0,,,,,0,0
22832437,16650,395,Social Security Card,04/26/2022,04/26/2022,0,0,0,0,0,0,39,0,22177,25237,0,0,M100,,,,0,0
22120761,7085,1,Shirt,03/10/2022,03/10/2022,1,1,0,0,0,0,3,0,0,0,0,0,,,,,0,0
21398195,16130,425,Disney MagicBands,01/02/2022,01/02/2022,3,12,0,0,0,0,0,0,8554,8554,0,0,,,,,0,0
22644295,15114,131,Purse or Bag,04/17/2022,04/17/2022,16,16,0,0,1719,0,58,19,5799,5799,0,0,04/10/2022,PR20220410007,,,0,0
21621368,16502,183,Laptop,01/24/2022,01/24/2022,2,2,0,0,824,824,0,0,12532,12532,0,0,,,,,0,0
21617870,16583,245,Clothing - Other,01/23/2022,01/23/2022,0,0,0,0,0,0,0,0,12932,12932,0,0,,,,,0,0
22798369,16505,10,Shorts,04/29/2022,04/30/2022,3,3,0,0,438,0,3,0,12591,12591,0,0,,,,,0,0
23433566,16885,67,Wallet,06/01/2022,06/01/2022,9,9,0,0,0,698,39,39,15586,15586,0,0,726,726,,,0,0
21975272,16222,145,Reading glasses,02/27/2022,02/27/2022,0,17,0,17,0,0,0,0,10799,10799,0,0,E205N,E205N,,,0,0
22574517,16909,231,iPhone,04/13/2022,04/13/2022,2,2,2,2,0,0,0,0,16146,16146,2119,2064,,,,,0,0
22758588,5503,67,Wallet,04/28/2022,04/27/2022,9,2,0,0,0,0,0,44,4185,4185,0,0,,,,,0,0
21747947,16130,430,Disney Autograph Book,02/06/2022,02/06/2022,16,4,0,0,1007,0,58,0,8551,8551,0,0,,,,,0,0
22293854,3216,67,Wallet,03/23/2022,03/23/2022,2,2,0,0,1667,1667,39,39,0,0,0,0,,,,,0,0
22886690,12196,329,Remote,05/06/2022,05/07/2022,2,0,2,0,824,0,0,0,0,0,0,0,,,,,0,0
22590562,14716,5,Coat - Jacket,04/14/2022,04/15/2022,9,2,0,0,0,0,6,0,0,0,0,0,,,,,0,0
22607679,16556,177,Keys,04/15/2022,04/16/2022,0,0,0,0,0,0,0,0,12567,12567,810,810,,,,,0,0
22078281,16130,231,iPhone,03/06/2022,03/07/2022,4,4,17,0,0,0,0,0,8554,8554,3044,2119,,,,,0,0
22879668,2474,269,Candy,05/05/2022,05/07/2022,2,0,0,0,0,0,17,0,796,796,0,0,989,UA 989/ARR 05MAY,,,0,0
22949518,8110,146,Prescription glasses,05/12/2022,05/12/2022,14,9,0,0,0,0,0,0,0,0,0,0,,,,,0,0
22375876,13505,33,Sneakers,03/29/2022,03/29/2022,3,0,0,0,0,0,0,0,28286,28286,1781,0,,,,,0,0
22313623,16130,206,Money,03/25/2022,03/25/2022,9,0,0,0,0,0,39,0,8554,8554,0,0,,,,,0,200
21983404,6517,181,Charger,02/27/2022,02/27/2022,2,2,0,0,0,0,0,0,4478,4478,0,0,,,,,0,0
23018972,16734,67,Wallet,05/17/2022,05/17/2022,0,5,0,0,0,0,0,44,15522,15522,0,0,,,,,0,0
23367414,16130,206,Money,06/11/2022,06/11/2022,2,0,0,0,1693,0,40,0,8551,8551,0,0,,,,,0,94
21779335,15053,5,Coat - Jacket,02/08/2022,02/10/2022,0,2,0,0,0,978,0,8,0,0,0,0,,,,,0,0
23000510,16650,346,ID Card - Membership or Nametag or Other ,05/07/2022,05/16/2022,0,0,0,0,0,0,0,0,25251,25251,113,0,,,,,0,0
22593819,16788,183,Laptop,04/15/2022,04/15/2022,3,3,3,0,823,823,0,0,14419,14419,0,0,,,,,0,0
22053144,2474,218,iPad,03/04/2022,03/05/2022,2,3,9,9,0,0,0,0,947,947,1249,0,1913,UA1913,,,0,0
21491126,7322,66,Credit or Debit card,01/10/2022,01/10/2022,0,0,0,0,98,98,0,0,0,0,0,0,6265,,,,0,0
22594930,13798,68,Passport,04/15/2022,04/15/2022,0,0,0,0,0,0,0,0,0,0,403,403,,,,,0,0
23036632,14722,218,iPad,05/18/2022,05/19/2022,2,2,4,0,0,0,0,0,7107,7107,1251,1251,,,,DMPS5KPG5YL,0,0
21488388,2474,211,Kindle or eReader Device,01/03/2022,01/03/2022,2,2,2,3,0,0,0,0,1021,1021,1273,1273,UA12,,G8S0T613037701LQ,G8S0T613037701LQ,0,0
22844537,2474,231,iPhone,04/29/2022,05/02/2022,2,2,5,5,0,0,0,0,947,947,2119,0,UA18,,356858114057871,,0,0
21994520,3216,5,Coat - Jacket,02/21/2022,02/22/2022,11,11,0,0,0,0,0,0,0,0,1782,0,,,,,0,0
21950755,2294,184,"Android, Blackberry, Windows, Other",02/25/2022,02/25/2022,2,2,2,2,833,833,0,0,0,0,0,0,,,,,0,0
23105959,16650,184,"Android, Blackberry, Windows, Other",05/18/2022,05/18/2022,16,2,16,16,833,833,0,0,25262,25262,0,0,BMX9,,,351600220113502,0,0
23451154,7319,1,Shirt,06/16/2022,06/16/2022,2,0,0,0,0,0,0,0,0,0,0,0,1124P,1124P,,,0,0
21635451,16650,206,Money,01/17/2022,01/20/2022,0,0,0,0,0,0,0,0,22177,25253,0,0,,,,,0,0.3
22359948,16520,1,Shirt,04/11/2022,03/28/2022,3,1,0,0,438,0,8,0,12178,12178,0,0,,,,,0,0
22483683,16734,143,Sunglasses,04/06/2022,04/07/2022,20,20,9,0,1387,1387,0,0,14725,14725,0,0,,,,,0,0
23191856,16130,66,Credit or Debit card,05/29/2022,05/30/2022,0,0,0,0,696,98,0,0,8552,8552,0,0,,,,,0,0
22155170,13507,320,ID Card - Employee,03/13/2022,03/13/2022,0,0,0,0,0,0,0,0,0,0,1582,0,,,,,0,0
23111108,14677,345,Toiletry bag,05/23/2022,05/24/2022,18,18,0,0,0,0,0,0,6129,6129,0,0,05/18/2022,14341,,,0,0
22310631,16650,67,Wallet,03/16/2022,03/20/2022,2,2,0,0,702,1645,39,39,22177,25269,0,0,,,,,0,0
23543973,16130,425,Disney MagicBands,06/22/2022,06/23/2022,16,16,0,0,0,0,0,0,8552,8552,0,0,,,,,0,0
23613849,17269,181,Charger,06/26/2022,06/26/2022,2,2,0,0,0,0,0,0,18690,18690,0,0,,,,,0,0
23417239,16650,463,Baggage - Other,04/20/2022,04/24/2022,0,2,0,0,0,0,0,19,25308,25308,0,0,,,,,0,0
22486340,6392,183,Laptop,04/06/2022,04/07/2022,3,16,0,0,822,822,0,0,1377,1377,0,0,115,,unknown,,0,0
21594673,16055,297,Stuffed Toy,01/09/2022,01/11/2022,0,0,0,0,0,0,0,0,7753,7753,0,0,,,,,0,0
23140772,16508,297,Stuffed Toy,05/25/2022,05/26/2022,0,0,0,0,0,0,0,0,12729,12729,0,0,,,,,0,0
22479226,16986,63,Photo,04/05/2022,04/06/2022,0,0,0,0,0,0,0,0,28256,28256,1760,1760,,,,,0,0
23333837,14678,190,Adapter converter,04/27/2022,06/09/2022,1,1,0,0,0,0,0,0,33860,33860,0,0,04/25/2022,25th -27th cruise,,,0,0
23316500,16650,462,Check or Money Order,05/26/2022,05/22/2022,0,0,0,0,0,0,0,0,22177,25256,0,0,,,,,0,0
23170272,15744,294,Flip flops,05/28/2022,05/29/2022,0,3,0,0,0,1489,0,0,0,0,0,0,,,,,0,0
22621897,13468,68,Passport,04/13/2022,04/17/2022,0,0,0,0,0,0,0,0,10609,10609,273,273,,,,,0,0
23247887,16130,66,Credit or Debit card,06/03/2022,06/03/2022,0,0,0,0,0,98,0,0,8570,8570,0,0,,,,,0,0
22535227,13468,23,Underwear,04/10/2022,04/11/2022,0,26,0,0,0,987,0,0,10612,10612,0,0,,,,,0,0
22730720,16650,66,Credit or Debit card,04/14/2022,04/14/2022,0,0,0,0,0,98,0,0,22177,25242,0,0,,,,,0,0
21621679,17791,5,Coat - Jacket,01/24/2022,01/24/2022,9,9,0,0,1071,0,65,0,25893,25893,0,0,14068,14068,,,0,0
21406545,13394,68,Passport,01/02/2022,01/02/2022,0,0,0,0,0,0,0,0,0,0,314,314,,,,,0,0
21494329,16130,65,Drivers License,01/10/2022,01/11/2022,2,0,0,0,0,0,39,0,8554,8554,0,140,,,,,0,0
22004290,2198,331,High heels,02/28/2022,02/28/2022,2,2,0,0,2601,0,7,0,0,0,0,0,,,,,0,0
21572033,14837,15,Swimwear,01/17/2022,01/19/2022,0,16,0,0,0,0,0,0,0,0,0,0,,,,,0,0
22702361,6392,68,Passport,04/23/2022,04/23/2022,0,0,0,0,0,0,0,0,5197,5197,403,403,1163,AA1163,,,0,0
23299187,16130,498,Rain Coat or Poncho,06/06/2022,06/06/2022,2,0,0,0,0,0,0,0,8554,8554,0,0,,,,,0,0
23003518,16650,65,Drivers License,05/09/2022,05/10/2022,0,0,0,0,0,0,0,0,22177,25255,0,138,Bus #104 or #7 or #11,,,,0,0
21485925,16843,181,Charger,01/10/2022,01/10/2022,2,11,0,0,0,0,0,0,15195,15195,0,0,,,,,0,0
21412286,2474,231,iPhone,01/02/2022,01/03/2022,4,4,4,4,0,0,0,0,949,949,3042,0,1069,,,,0,0
22011514,16130,206,Money,03/01/2022,03/01/2022,9,0,0,0,0,0,39,0,8555,8555,0,0,,,,,0,40
22366007,16650,346,ID Card - Membership or Nametag or Other ,03/25/2022,03/23/2022,0,0,0,0,0,0,0,0,22177,25242,132,0,,,,,0,0
22579097,17800,167,Flat Iron,04/13/2022,04/13/2022,0,0,0,0,0,0,0,0,25929,25929,0,0,,,,,0,0
22988110,16492,5,Coat - Jacket,05/10/2022,05/15/2022,2,2,0,0,1277,1277,45,0,12482,12482,0,0,,,,,0,0
21995954,5894,206,Money,02/27/2022,02/28/2022,0,0,0,0,0,0,0,0,1243,1243,403,0,,,,,0,827.05
22876714,4778,15,Swimwear,05/06/2022,05/06/2022,2,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0
22476220,16912,422,Airpods/Case,04/06/2022,04/06/2022,1,1,0,0,0,0,0,0,16191,16191,0,0,,,,,0,0
21918652,5894,72,Medical Prescriptions,02/21/2022,02/22/2022,0,0,0,0,706,998,0,0,1244,1244,0,0,,,,,0,0
22938283,7838,67,Wallet,05/11/2022,05/11/2022,0,2,0,0,96,0,0,0,0,0,0,0,,,,,0,0
22176466,16650,385,Multiple Items,03/09/2022,03/09/2022,0,0,0,0,0,0,0,0,22177,25235,0,0,,,,,0,0
23434123,6392,135,Backpack,06/14/2022,06/16/2022,0,3,0,0,0,0,0,0,1377,1377,0,0,2811,,,,0,0
21493987,16650,67,Wallet,01/03/2022,01/03/2022,11,0,0,0,997,0,39,0,25240,25240,0,0,,,,,0,0
23093540,16650,197,Hotspot,05/11/2022,05/11/2022,0,0,0,0,1608,1024,0,0,25235,25235,0,0,M60,,,,0,0
22683583,16650,496,MTA Metrocard - Disability,04/12/2022,04/11/2022,0,0,0,0,0,0,0,0,25246,25246,0,0,,,,,0,0
21944492,16942,99,Bracelet or Wristlet,02/24/2022,02/24/2022,0,0,0,0,0,0,9,0,16333,16333,0,0,,,,,0,0
21724428,16130,339,Foreign currency,02/04/2022,02/04/2022,2,0,0,0,703,0,39,0,8554,8554,0,0,,,,,0,0
21501218,16387,66,Credit or Debit card,01/09/2022,01/12/2022,0,0,0,0,96,96,0,0,11392,11392,0,0,153,153,,,0,0
21432101,16650,206,Money,01/01/2022,01/01/2022,0,0,0,0,696,0,0,0,25246,25246,0,0,,,,,0,20
21866674,2474,272,Pouch,02/16/2022,02/18/2022,1,2,0,0,879,0,0,0,951,951,0,0,486,,,,0,0
21834993,2474,376,Nintendo,02/19/2022,02/12/2022,2,2,0,0,0,0,0,0,168,948,0,0,2315,,,,0,0
21429415,16130,65,Drivers License,01/04/2022,01/04/2022,0,0,0,0,696,0,0,0,8551,8551,0,109,,,,,0,0
21461136,14678,149,Pocketbook/Purse,01/08/2022,01/08/2022,2,2,0,0,1007,0,58,58,21206,21206,0,0,1/3/2022,79,,,0,0
21938918,16130,231,iPhone,02/24/2022,02/24/2022,14,14,17,17,0,0,0,0,8554,8554,1268,1268,,,,,0,0
23455622,6392,182,Tablet,06/15/2022,06/15/2022,2,2,22,12,83,83,0,0,1291,1291,0,0,2796,,R52MB0WHFQN,,0,0
21680598,12899,296,Pots and Pans,01/30/2022,01/31/2022,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
21696184,15723,155,Cigarettes,02/01/2022,02/01/2022,0,0,0,0,0,1008,49,0,13924,13924,0,0,,,,,0,0
23295549,5894,331,High heels,06/05/2022,06/06/2022,14,14,0,0,0,0,0,0,1244,1244,0,0,0712,712,,,0,0
22271858,16650,460,ID Card - Student,03/09/2022,03/14/2022,0,0,0,0,0,0,0,0,22177,25242,0,0,Don’t remember ,,,,2,0
22233276,3420,131,Purse or Bag,03/19/2022,03/19/2022,2,2,0,0,0,0,17,17,0,0,0,0,,,,,0,0
22485211,16387,362,Tote,04/03/2022,04/07/2022,2,2,0,0,0,0,0,0,11349,11349,0,0,92,92,,,0,0
22726533,16556,184,"Android, Blackberry, Windows, Other",04/24/2022,04/25/2022,2,2,4,2,833,833,0,0,12567,12567,0,0,,,,,0,0
22117598,16505,69,Checkbook,03/10/2022,03/10/2022,9,1,0,0,0,0,39,0,12436,12436,0,0,,,,,0,0
21760732,16650,461,Benefit or Insurance Card,02/01/2022,02/01/2022,11,0,0,0,0,0,0,0,22177,25235,0,0,M23,,,,0,0
22281205,16495,5,Coat - Jacket,03/22/2022,03/22/2022,0,4,0,0,0,0,0,21,12427,12427,0,0,,,,,0,0
21456462,16679,47,Cap,01/07/2022,01/07/2022,0,4,0,0,0,0,0,0,0,0,0,0,,,,,0,0
21727433,16130,65,Drivers License,02/04/2022,02/05/2022,0,0,0,0,0,0,0,0,8570,8570,104,104,,,,,0,0
22440812,16349,181,Charger,03/31/2022,03/31/2022,1,1,0,0,0,0,0,0,10984,10984,0,0,,,,,0,0
22636041,17791,1,Shirt,04/15/2022,04/15/2022,2,11,0,0,438,0,3,3,25906,25906,0,0,18019,18019,,,0,0
21638353,2474,218,iPad,01/20/2022,01/25/2022,3,2,2,0,0,0,0,0,1008,1008,1248,1248,535,,,f9fyg3sjlmpl,0,0
22364570,2198,231,iPhone,03/27/2022,03/29/2022,14,1,11,17,0,0,0,0,0,0,3026,0,,,,,0,0
23251915,3306,66,Credit or Debit card,06/02/2022,06/03/2022,2,0,0,0,1656,98,39,0,0,0,0,0,,,,,0,0
22887200,16130,67,Wallet,05/06/2022,05/07/2022,0,17,0,0,996,0,0,44,8551,8551,0,0,,,,,0,0
21619271,7319,246,Sweater,01/21/2022,01/23/2022,4,0,0,0,0,0,8,0,0,0,0,0,725,725,,,0,0
22867921,16387,18,Socks,05/01/2022,05/06/2022,4,2,0,0,980,0,8,0,11392,11392,0,0,5,111,,,0,0
22582425,16885,218,iPad,04/12/2022,04/14/2022,2,0,2,0,0,0,0,0,15570,15570,1248,0,711,711,,,0,
21484890,16130,425,Disney MagicBands,01/08/2022,01/10/2022,12,1,0,0,0,0,0,0,8551,8551,0,0,,,,,0,0
21583699,16130,65,Drivers License,01/20/2022,01/21/2022,3,0,0,0,0,0,39,0,8554,8554,0,138,,,,,0,0
22274238,15748,358,Assorted Items,03/22/2022,03/22/2022,0,0,0,0,0,0,0,0,15697,15697,0,0,,,,,0,0
22190729,16650,181,Charger,03/07/2022,03/07/2022,11,1,0,0,0,0,0,0,22177,25253,0,0,,,,,0,0
21496773,16130,212,Toy,01/10/2022,01/11/2022,3,0,0,0,0,0,0,0,8552,8552,0,0,,,,,0,0
23343066,16130,146,Prescription glasses,06/08/2022,06/09/2022,2,17,0,0,0,0,18,0,8556,8556,0,0,,,,,0,0
22846184,13518,191,Cables,05/04/2022,05/04/2022,3,1,3,0,0,0,0,0,4652,4652,0,0,,,,,0,0
22604543,17017,67,Wallet,04/13/2022,04/16/2022,0,9,0,0,0,2561,0,39,19072,19072,0,0,,,,,,0
23613272,16650,461,Benefit or Insurance Card,06/24/2022,06/24/2022,0,0,0,0,0,0,0,0,22177,25251,0,0,6,,,,100,0
22998013,7085,67,Wallet,05/15/2022,05/16/2022,0,0,0,0,0,0,0,0,0,0,144,0,,,,,0,0
21567382,16650,527,Vaccine Card,01/17/2022,01/15/2022,0,0,0,0,0,0,0,0,22177,25241,0,0,Bx 35,,,,0,0
22753023,16650,67,Wallet,04/23/2022,04/23/2022,0,2,0,0,0,702,0,39,25255,25255,0,0,,,,,0,0
23478226,18109,82,Dental Retainer,06/18/2022,06/18/2022,0,0,2,2,0,0,0,0,28333,28333,0,0,,,,,0,0
21425660,8098,250,Cosmetics or Makeup,01/04/2022,01/04/2022,3,0,0,0,1277,0,47,0,0,0,0,0,,,,,0,0
21713226,16130,231,iPhone,02/03/2022,02/03/2022,2,2,6,6,0,0,0,0,8555,8555,3009,2119,,,A2172,,0,0
22824349,16076,231,iPhone,04/27/2022,05/02/2022,4,4,4,4,0,0,0,0,0,0,3009,3009,,,,,0,0
23004017,3394,184,"Android, Blackberry, Windows, Other",05/15/2022,05/14/2022,2,2,2,17,3033,0,0,0,2324,2324,0,0,,,,,0,0
21450646,6392,346,ID Card - Membership or Nametag or Other ,01/06/2022,01/07/2022,0,0,0,0,0,0,0,0,1294,1294,0,0,262,,,,0,0
21635663,16650,206,Money,01/21/2022,01/21/2022,0,0,0,0,0,0,0,0,22177,25252,0,0,B26,,,,0,0.5
22746505,17254,232,Storage Container | Tote,04/23/2022,04/23/2022,16,0,0,0,981,0,3,0,18935,18935,0,0,,,,,0,0
22329256,16130,66,Credit or Debit card,03/26/2022,03/26/2022,0,0,0,0,996,98,0,0,8552,8552,0,0,,,,,0,0
23329247,17064,72,Medical Prescriptions,06/08/2022,06/09/2022,0,0,0,0,998,0,0,0,0,0,0,0,,,,,0,0
21669329,12899,217,Not Listed,01/29/2022,01/30/2022,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
22726991,16387,67,Wallet,04/23/2022,04/25/2022,14,16,0,0,1695,1695,44,39,0,0,0,0,/29,,,,0,0
23127373,16734,66,Credit or Debit card,05/25/2022,05/25/2022,0,0,0,0,98,696,0,0,14748,14748,0,0,,,,,0,0
21802246,17254,143,Sunglasses,02/09/2022,02/09/2022,0,11,0,1,0,752,0,0,18935,18935,0,0,,,,,0,0
21858819,16885,67,Wallet,02/17/2022,02/17/2022,2,2,0,0,1645,702,40,0,15586,15586,0,0,250,656,,,0,0
22366339,16650,461,Benefit or Insurance Card,03/22/2022,03/22/2022,0,0,0,0,0,0,0,0,22177,25241,0,0,,,,,0,0
21721799,16885,218,iPad,02/04/2022,02/04/2022,3,2,0,0,0,0,0,0,15586,15586,1248,0,706,706,DMPYWC1EJF8J,DMPYWC1EJF8J,0,0
21512293,2474,218,iPad,01/04/2022,01/13/2022,2,3,0,3,0,0,0,0,947,947,0,0,2654,2654,,DMPVK10HJ28K,0,0
21535336,2474,182,Tablet,01/12/2022,01/12/2022,2,2,2,2,83,83,0,0,948,948,0,0,2268,2752,unknown,R52R20ASJFV,0,0
22227519,14677,184,"Android, Blackberry, Windows, Other",03/19/2022,03/19/2022,2,2,16,12,833,833,0,0,8667,8667,0,0,3/12/2022,225,,,0,0
22275302,11422,206,Money,03/22/2022,03/22/2022,11,0,0,0,0,0,0,0,0,0,0,0,,,,,0,210
21432412,16650,65,Drivers License,12/27/2021,12/28/2021,0,0,0,0,0,0,0,0,25240,25240,1582,131,X28,,,,0,0
22656702,2185,5,Coat - Jacket,04/19/2022,04/19/2022,4,4,0,0,1057,1057,6,0,11612,11612,0,0,1158,1158,,,0,0
22971206,2198,184,"Android, Blackberry, Windows, Other",05/12/2022,05/13/2022,2,2,2,2,833,833,0,0,0,0,0,0,,,,,0,0
21471664,13410,18,Socks,01/07/2022,01/09/2022,5,3,0,0,644,0,0,0,0,0,0,0,,,,,0,0
22319797,12499,181,Charger,03/25/2022,03/25/2022,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
21409769,12899,422,Airpods/Case,01/02/2022,01/03/2022,17,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0
23292348,7322,100,Earrings or Piercings,06/05/2022,06/05/2022,0,0,0,0,0,0,10,9,1901,1901,0,0,6079,RM#6079,,,0,0
21414242,17254,329,Remote,01/02/2022,01/02/2022,0,0,0,0,0,0,0,0,18935,18935,0,0,,,,,0,0
21230272,2474,193,Headphones,10/17/2021,12/19/2021,1,1,0,0,0,2082,0,0,794,794,0,0,915,,,,0,0
22118272,2474,185,Calculator,03/05/2022,03/10/2022,3,3,0,0,837,837,0,0,950,950,0,0,4986,,,,0,0
23084754,8609,231,iPhone,05/20/2022,05/22/2022,2,2,6,6,0,0,0,0,0,0,2119,3039,,,Unknown,89148000005591534326,0,0
21707553,16130,263,Magazine,02/02/2022,02/03/2022,2,0,0,0,0,0,0,0,8551,8551,0,0,,,,,0,0
22835490,16650,66,Credit or Debit card,04/30/2022,04/30/2022,0,0,0,0,0,0,0,0,22177,25248,132,0,,,,,0,0
22835948,17705,193,Headphones,05/03/2022,05/03/2022,1,1,0,0,875,867,0,0,25326,25326,0,0,,,,,0,0
22225095,16885,231,iPhone,03/18/2022,03/18/2022,14,16,10,10,0,0,0,0,15581,15581,2065,2064,3137,3288,,,0,0
23546495,16130,47,Cap,06/23/2022,06/23/2022,2,2,0,0,0,0,0,0,8551,8551,0,0,,,,,0,0
